Elapsed time,ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
'0:00.133',-0.111,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.135',-0.094,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.137',-0.079,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.139',-0.089,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.141',-0.084,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.143',-0.096,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.145',-0.109,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.147',-0.1,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.149',-0.087,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.151',-0.085,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.153',-0.092,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.155',-0.062,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.157',-0.072,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.159',-0.118,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.161',-0.144,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.163',-0.118,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.165',-0.071,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.167',-0.082,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.169',-0.109,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.171',-0.151,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.173',-0.164,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.175',-0.127,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.177',-0.109,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.179',-0.096,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.181',-0.094,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.183',-0.112,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.185',-0.129,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.188',-0.12,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.190',-0.078,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.192',-0.083,0.352,6.247,10.794,89.0,12.48,32.83
'0:00.194',-0.115,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.196',-0.115,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.198',-0.14,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.200',-0.129,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.202',-0.106,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.204',-0.115,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.206',-0.09,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.208',-0.105,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.210',-0.156,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.212',-0.16,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.214',-0.132,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.216',-0.139,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.218',-0.139,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.220',-0.111,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.222',-0.133,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.224',-0.183,0.456,6.245,10.764,89.0,12.48,32.59
'0:00.226',-0.182,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.228',-0.105,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.230',-0.023,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.232',0.035,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.234',0.128,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.236',0.221,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.238',0.317,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.240',0.45,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.242',0.558,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.244',0.662,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.246',0.769,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.248',0.846,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.250',0.952,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.252',1.079,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.254',1.126,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.256',1.116,0.456,6.242,10.732,89.0,12.48,32.37
'0:00.258',1.054,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.260',0.944,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.262',0.798,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.264',0.499,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.266',0.201,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.268',0.013,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.270',-0.171,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.272',-0.286,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.274',-0.339,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.276',-0.348,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.278',-0.325,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.280',-0.313,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.282',-0.292,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.284',-0.256,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.286',-0.19,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.288',-0.167,0.414,6.237,10.702,89.0,12.48,32.18
'0:00.290',-0.16,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.292',-0.138,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.294',-0.131,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.296',-0.094,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.298',-0.062,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.300',-0.039,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.302',-0.038,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.304',-0.055,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.306',-0.055,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.308',-0.049,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.310',-0.042,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.313',-0.054,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.315',-0.065,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.317',-0.05,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.319',-0.063,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.321',-0.111,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.323',-0.077,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.325',0.005,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.327',0.0,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.329',-0.034,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.331',-0.051,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.333',-0.074,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.335',-0.087,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.337',-0.023,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.339',0.085,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.341',0.093,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.343',0.048,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.345',0.026,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.347',0.011,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.349',0.051,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.351',0.068,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.353',0.073,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.355',0.096,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.357',0.081,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.359',0.106,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.361',0.098,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.363',0.094,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.365',0.157,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.367',0.14,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.369',0.1,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.371',0.084,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.373',0.093,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.375',0.136,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.377',0.149,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.379',0.161,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.381',0.182,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.383',0.177,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.385',0.161,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.387',0.147,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.389',0.131,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.391',0.143,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.393',0.198,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.395',0.211,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.397',0.195,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.399',0.176,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.401',0.092,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.403',0.071,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.405',0.094,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.407',0.051,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.409',0.022,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.411',0.013,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.413',0.051,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.415',0.068,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.417',0.073,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.419',0.096,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.421',0.081,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.423',0.106,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.425',0.098,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.427',0.094,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.429',0.157,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.431',0.14,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.433',0.1,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.435',0.084,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.438',0.093,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.440',0.136,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.442',0.149,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.444',0.161,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.446',0.182,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.448',0.177,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.450',0.161,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.452',0.147,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.454',0.131,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.456',0.145,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.458',0.193,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.460',0.215,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.462',0.193,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.464',0.166,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.466',0.176,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.468',0.211,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.470',0.221,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.472',0.195,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.474',0.19,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.476',0.228,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.478',0.241,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.480',0.219,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.482',0.193,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.484',0.182,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.486',0.222,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.488',0.238,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.490',0.199,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.492',0.209,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.494',0.234,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.496',0.206,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.498',0.187,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.500',0.198,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.502',0.211,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.504',0.245,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.506',0.273,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.508',0.22,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.510',0.159,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.512',0.149,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.514',0.12,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.516',0.11,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.518',0.121,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.520',0.087,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.522',0.068,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.524',0.072,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.526',0.042,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.528',0.038,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.530',0.079,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.532',0.072,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.534',0.002,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.536',-0.024,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.538',-0.018,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.540',-0.031,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.542',-0.04,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.544',-0.051,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.546',-0.04,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.548',-0.062,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.550',-0.088,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.552',-0.054,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.554',-0.054,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.556',-0.071,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.558',-0.09,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.560',-0.116,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.563',-0.121,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.565',-0.111,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.567',-0.14,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.569',-0.162,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.571',-0.12,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.573',-0.117,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.575',-0.12,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.577',-0.095,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.579',-0.104,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.581',-0.133,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.583',-0.153,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.585',-0.181,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.587',-0.175,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.589',-0.121,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.591',-0.125,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.593',-0.147,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.595',-0.128,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.597',-0.138,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.599',-0.133,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.601',-0.136,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.603',-0.177,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.605',-0.164,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.607',-0.143,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.609',-0.142,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.611',-0.11,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.613',-0.133,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.615',-0.14,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.617',-0.085,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.619',-0.11,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.621',-0.131,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.623',-0.115,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.625',-0.134,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.627',-0.138,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.629',-0.151,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.631',-0.148,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.633',-0.137,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.635',-0.176,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.637',-0.16,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.639',-0.122,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.641',-0.107,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.643',-0.144,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.645',-0.182,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.647',-0.134,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.649',-0.148,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.651',-0.175,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.653',-0.129,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.655',-0.094,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.657',-0.092,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.659',-0.137,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.661',-0.179,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.663',-0.177,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.665',-0.151,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.667',-0.164,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.669',-0.217,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.671',-0.212,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.673',-0.164,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.675',-0.148,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.677',-0.133,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.679',-0.093,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.681',-0.088,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.683',-0.114,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.685',-0.109,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.688',-0.121,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.690',-0.153,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.692',-0.153,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.694',-0.157,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.696',-0.178,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.698',-0.195,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.700',-0.19,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.702',-0.168,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.704',-0.197,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.706',-0.189,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.708',-0.143,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.710',-0.15,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.712',-0.14,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.714',-0.155,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.716',-0.154,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.718',-0.121,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.720',-0.139,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.722',-0.137,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.724',-0.153,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.726',-0.203,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.728',-0.226,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.730',-0.209,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.732',-0.147,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.734',-0.105,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.736',-0.105,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.738',-0.121,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.740',-0.142,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.742',-0.139,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.744',-0.142,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.746',-0.145,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.748',-0.117,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.750',-0.133,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.752',-0.142,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.754',-0.06,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.756',-0.052,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.758',-0.104,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.760',-0.093,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.762',-0.072,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.764',-0.07,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.766',-0.046,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.768',-0.056,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.770',-0.112,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.772',-0.12,0.477,6.123,10.344,75.0,12.48,30.23
'0:00.774',-0.131,0.456,6.11,10.322,75.0,12.48,30.12
'0:00.776',-0.153,0.456,6.11,10.322,75.0,12.48,30.12
'0:00.778',-0.156,0.456,6.11,10.322,75.0,12.48,30.12
'0:00.780',-0.155,0.456,6.11,10.322,75.0,12.48,30.12
'0:00.782',-0.116,0.456,6.11,10.322,75.0,12.48,30.12
'0:00.784',-0.07,0.456,6.11,10.322,75.0,12.48,30.12
