ECG,EMG,foot GSR,hand GSR,HR,RESP,stress,Driver
0.2740504,0.7111005,0.10379921,0.18418215,0.1773557,0.40482754,-1,11
0.27394274,0.7112722,0.10388816,0.18422994,0.17756972,0.40595508,-1,11
0.2738821,0.71136904,0.10393835,0.18425699,0.17768982,0.40659076,-1,11
0.27398205,0.7112097,0.10385568,0.18421249,0.17749166,0.40554297,-1,11
0.2735839,0.7811843,0.109328456,0.1893946,0.18132778,0.40251923,-1,11
0.27350768,0.781331,0.10938979,0.18942852,0.18148711,0.40329802,-1,11
0.27355176,0.7812461,0.1093543,0.18940885,0.18139507,0.4028474,-1,11
0.27360803,0.7811378,0.10930907,0.18938386,0.18127725,0.40227258,-1,11
0.2736483,0.7810596,0.109276645,0.1893659,0.1811928,0.4018612,-1,11
0.27368465,0.78098863,0.10924733,0.18934971,0.18111636,0.40149027,-1,11
0.2737658,0.78082937,0.109181985,0.1893135,0.1809456,0.40066242,-1,11
0.2738555,0.7806526,0.10910984,0.18927358,0.18075591,0.39974815,-1,11
0.27386367,0.7806365,0.10910321,0.1892699,0.1807388,0.39966464,-1,11
0.27385142,0.78066003,0.10911304,0.18927537,0.18076454,0.3997895,-1,11
0.2738555,0.7806526,0.10910984,0.18927358,0.18075591,0.39974815,-1,11
0.27385142,0.78066003,0.10911304,0.18927537,0.18076454,0.3997895,-1,11
0.2738555,0.7806526,0.10910984,0.18927358,0.18075591,0.39974815,-1,11
0.27382693,0.78070873,0.1091328,0.18928626,0.18081653,0.40003926,-1,11
0.2738024,0.78075707,0.10915248,0.18929718,0.18086833,0.40028906,-1,11
0.2738024,0.78075707,0.10915248,0.18929718,0.18086833,0.40028906,-1,11
0.27392736,0.77958053,0.10898122,0.18917292,0.18056947,0.39910215,-1,11
0.2739887,0.7794606,0.108931966,0.18914574,0.18043932,0.39847702,-1,11
0.2741578,0.77912766,0.10879637,0.18907104,0.18007904,0.3967566,-1,11
0.2741827,0.7790785,0.10877644,0.18906006,0.18002564,0.39650333,-1,11
0.2739519,0.77953225,0.108961515,0.18916203,0.18051735,0.39885217,-1,11
0.2736884,0.78003955,0.1091728,0.18927851,0.18107338,0.40153992,-1,11
0.27358416,0.780237,0.10925645,0.18932463,0.18129192,0.40260535,-1,11
0.27362415,0.78016204,0.10922435,0.18930702,0.18120815,0.40219635,-1,11
0.27366427,0.78008586,0.10919222,0.18928924,0.18112405,0.40178645,-1,11
0.27368432,0.780048,0.1091761,0.18928039,0.18108201,0.40158147,-1,11
0.27372858,0.7799639,0.10914062,0.18926084,0.18098901,0.40112942,-1,11
0.27373666,0.77994853,0.10913415,0.18925725,0.18097223,0.40104687,-1,11
0.2737326,0.7799562,0.109137386,0.18925901,0.18098068,0.40108806,-1,11
0.2737205,0.7799799,0.109147124,0.18926442,0.18100603,0.4012118,-1,11
0.2736522,0.780109,0.1092019,0.18929459,0.1811495,0.40190983,-1,11
0.27362013,0.7801695,0.109227546,0.18930873,0.18121654,0.40223724,-1,11
0.27384305,0.8487106,0.11421504,0.1943365,0.18310815,0.39340854,-1,11
0.27387443,0.84864444,0.11419059,0.19432294,0.18303812,0.39309484,-1,11
0.27384752,0.84870154,0.114211574,0.1943346,0.18309814,0.3933637,-1,11
0.27402782,0.84831494,0.11407068,0.19425642,0.18269563,0.39156365,-1,11
0.2742466,0.84783,0.11389898,0.19416094,0.18220347,0.38938397,-1,11
0.27405503,0.848255,0.114049286,0.19424453,0.18263444,0.39129204,-1,11
0.27366894,0.84907097,0.11435059,0.1944114,0.18349421,0.39515054,-1,11
0.27343482,0.84953207,0.11453168,0.19451097,0.18400925,0.39749902,-1,11
0.27333844,0.84971315,0.114605814,0.19455147,0.18422002,0.39846832,-1,11
0.2733472,0.8496968,0.1145991,0.19454783,0.1842008,0.39838022,-1,11
0.27343044,0.8495402,0.11453506,0.1945128,0.18401885,0.39754313,-1,11
0.2735052,0.8493969,0.114477396,0.19448118,0.18385512,0.39679235,-1,11
0.27354932,0.84931046,0.11444333,0.19446245,0.18375814,0.39634973,-1,11
0.27355814,0.84929246,0.11443641,0.19445866,0.18373865,0.39626092,-1,11
0.27363786,0.84913427,0.11437478,0.19442475,0.183563,0.39546204,-1,11
0.27378482,0.8488328,0.11426045,0.19436163,0.18323755,0.39399052,-1,11
0.2746358,0.8491222,0.11372876,0.19414395,0.18142176,0.38519835,-1,11
0.2746542,0.8490841,0.11371454,0.1941362,0.1813798,0.38501525,-1,11
0.27458534,0.8492258,0.113767445,0.19416504,0.18153673,0.38570035,-1,11
0.2744208,0.8495571,0.11389327,0.1942336,0.18191016,0.38733745,-1,11
0.27424407,0.84989876,0.11402782,0.19430646,0.18230915,0.38909984,-1,11
0.27414498,0.85008305,0.114102855,0.19434696,0.18253139,0.39008975,-1,11
0.27415848,0.8500579,0.11409264,0.19434144,0.18250114,0.38995498,-1,11
0.27422604,0.8499325,0.11404148,0.19431384,0.18234962,0.38928008,-1,11
0.2743255,0.8497426,0.11396585,0.19427294,0.18212557,0.38828748,-1,11
0.27437538,0.8496465,0.113928,0.1942524,0.1820131,0.38779038,-1,11
0.2743572,0.8496818,0.113941796,0.19425991,0.18205386,0.38797134,-1,11
0.27433908,0.84971696,0.113955595,0.19426738,0.18209499,0.38815206,-1,11
0.27428925,0.8498128,0.11399344,0.1942879,0.18220732,0.388649,-1,11
0.2743028,0.8497872,0.1139832,0.19428237,0.18217671,0.38851368,-1,11
0.2743799,0.84963757,0.11392448,0.19425052,0.18200266,0.38774502,-1,11
0.27442992,0.8495397,0.11388644,0.19422983,0.18188974,0.38724685,-1,11
0.27673608,0.5881808,0.09276271,0.17469586,0.16560866,0.38963902,-1,11
0.27676564,0.5881627,0.09273787,0.17468423,0.16555145,0.38931626,-1,11
0.27671546,0.5881939,0.09278017,0.17470407,0.16564839,0.38986486,-1,11
0.27667135,0.58822185,0.09281746,0.17472152,0.1657333,0.39034688,-1,11
0.2766684,0.5882239,0.09281997,0.1747227,0.16573897,0.39037913,-1,11
0.2766626,0.5882277,0.09282495,0.17472506,0.1657501,0.3904431,-1,11
0.27663907,0.5882445,0.092844926,0.1747345,0.16579549,0.3906998,-1,11
0.2766626,0.5882277,0.09282495,0.17472506,0.1657501,0.3904431,-1,11
0.27673316,0.5881824,0.092765205,0.17469701,0.16561422,0.3896711,-1,11
0.2767864,0.5881495,0.092720315,0.17467603,0.16551137,0.3890894,-1,11
0.2768219,0.5881303,0.092690535,0.17466226,0.1654427,0.3887006,-1,11
0.27678037,0.58815455,0.09272545,0.1746785,0.16552295,0.3891548,-1,11
0.27665085,0.5882363,0.09283501,0.1747298,0.16577286,0.39057142,-1,11
0.27658644,0.5882822,0.0928899,0.17475575,0.1658968,0.39127547,-1,11
0.27663028,0.58825064,0.09285247,0.17473805,0.16581252,0.39079607,-1,11
0.27668902,0.5882099,0.09280251,0.17471448,0.16569933,0.39015394,-1,11
0.27761146,0.590763,0.09220558,0.17454927,0.16414467,0.3795144,-1,11
0.2776511,0.59074396,0.09217336,0.17453466,0.16406494,0.37908506,-1,11
0.2776969,0.5907229,0.09213615,0.17451787,0.16397268,0.37858862,-1,11
0.2777214,0.59071296,0.092116445,0.17450903,0.16392346,0.37832338,-1,11
0.2776969,0.5907229,0.09213615,0.17451787,0.16397268,0.37858862,-1,11
0.27767858,0.59073097,0.092151046,0.17452459,0.16400962,0.37878746,-1,11
0.2777214,0.59071296,0.092116445,0.17450903,0.16392346,0.37832338,-1,11
0.27776742,0.59069526,0.092079364,0.17449248,0.16383074,0.37782502,-1,11
0.27788785,0.5906566,0.09198324,0.17444983,0.1635879,0.37652075,-1,11
0.27810684,0.5906196,0.091811486,0.17437513,0.1631448,0.3741492,-1,11
0.2784042,0.5906473,0.091585316,0.17428026,0.16254142,0.37092787,-1,11
0.27870697,0.5907734,0.09136376,0.17419183,0.16192506,0.3676461,-1,11
0.27890623,0.5909142,0.09122313,0.1741384,0.16151892,0.36548495,-1,11
0.27923992,0.5912564,0.090997,0.17405757,0.16083732,0.3618632,-1,11
0.2797125,0.59197533,0.09069758,0.17396231,0.15986979,0.35672784,-1,11
0.28018814,0.59297496,0.09042107,0.17388906,0.15889344,0.35155386,-1,11
0.28214493,0.8681311,0.110793225,0.19392075,0.16345203,0.30920583,-1,11
0.2828542,0.8666118,0.110295616,0.19367296,0.16153005,0.3024934,-1,11
0.28322467,0.8658722,0.11004076,0.19354898,0.16051984,0.29898977,-1,11
0.28375667,0.86488134,0.10968147,0.19337791,0.15906233,0.29396182,-1,11
0.28405586,0.864363,0.109483,0.19328552,0.15823898,0.29113525,-1,11
0.28389865,0.86463183,0.10958697,0.19333375,0.15867198,0.29262036,-1,11
0.28341222,0.86551386,0.109913245,0.19348773,0.16000718,0.2972167,-1,11
0.28261742,0.8671039,0.110460296,0.19375414,0.16217345,0.3047334,-1,11
0.28132555,0.8700375,0.11138284,0.19422269,0.16565204,0.31697106,-1,11
0.27960715,0.8743766,0.11265758,0.19489723,0.1701861,0.3333146,-1,11
0.27823117,0.8778741,0.11369393,0.19545484,0.1737259,0.3464936,-1,11
0.27746642,0.8796672,0.11426485,0.19575989,0.17565122,0.3538726,-1,11
0.27678204,0.8810956,0.11476689,0.19602373,0.17734504,0.360519,-1,11
0.27606577,0.8823413,0.11527879,0.19628568,0.17908436,0.3675288,-1,11
0.2755501,0.88304263,0.115636215,0.19646259,0.18031362,0.37261456,-1,11
0.2754479,0.8831591,0.11570573,0.1964963,0.18055457,0.3736269,-1,11
0.27641124,0.883079,0.11511034,0.19625336,0.17830646,0.36393654,-1,11
0.27642128,0.8830667,0.11510353,0.1962501,0.17828226,0.36383808,-1,11
0.27637637,0.8831199,0.11513385,0.1962646,0.1783908,0.36428,-1,11
0.27658638,0.8828581,0.114991434,0.19619587,0.17788216,0.36221582,-1,11
0.27702537,0.8822195,0.11468854,0.19604662,0.17680886,0.35791898,-1,11
0.27758417,0.8812465,0.114293806,0.19584712,0.17542362,0.3524809,-1,11
0.2779229,0.88057953,0.11405022,0.19572163,0.17457426,0.3492003,-1,11
0.27805433,0.88030773,0.11395499,0.19567223,0.17424297,0.3479302,-1,11
0.27817056,0.8800618,0.11387045,0.19562821,0.17394906,0.34680825,-1,11
0.27827677,0.8798322,0.11379296,0.19558774,0.17367989,0.34578425,-1,11
0.27854425,0.8792371,0.11359699,0.19548494,0.17299908,0.34320933,-1,11
0.2786089,0.8790894,0.11354942,0.19545987,0.17283386,0.34258777,-1,11
0.27823955,0.8799129,0.11382018,0.19560197,0.17377415,0.34614313,-1,11
0.27797538,0.8804721,0.11401221,0.19570197,0.17444211,0.34869283,-1,11
0.27778164,0.8808642,0.11415212,0.19577432,0.17492944,0.3505668,-1,11
0.27766714,0.8810877,0.11423437,0.19581659,0.17521626,0.35167605,-1,11
0.278104,0.8667801,0.11290039,0.1946156,0.17385522,0.34855705,-1,11
0.2784168,0.8661365,0.112673566,0.19449806,0.17306665,0.34553188,-1,11
0.27833304,0.86631244,0.11273457,0.19452974,0.17327845,0.3463415,-1,11
0.278187,0.86661273,0.11284043,0.19458462,0.17364648,0.34775358,-1,11
0.27809882,0.86678976,0.112904094,0.19461748,0.17386794,0.34860718,-1,11
0.2781299,0.86672777,0.112881646,0.19460592,0.17378992,0.3483063,-1,11
0.27820265,0.866581,0.11282912,0.19457875,0.17360717,0.34760225,-1,11
0.27808845,0.866811,0.11291165,0.19462141,0.17389417,0.34870768,-1,11
0.2779439,0.8670941,0.11301567,0.19467494,0.17425632,0.35010868,-1,11
0.27796963,0.8670445,0.112997174,0.19466543,0.17419195,0.34985906,-1,11
0.27804193,0.8669031,0.11294517,0.19463865,0.17401078,0.3491584,-1,11
0.27807295,0.8668416,0.11292279,0.19462714,0.17393303,0.34885794,-1,11
0.27811956,0.86674863,0.11288917,0.19460976,0.17381603,0.3484063,-1,11
0.27816105,0.8666653,0.11285918,0.1945943,0.17371187,0.34800482,-1,11
0.2782286,0.8665281,0.112810284,0.194569,0.17354178,0.34735084,-1,11
0.2782703,0.86644214,0.11277998,0.19455333,0.17343658,0.3469476,-1,11
0.27890122,0.86788696,0.112506114,0.19451976,0.17192534,0.34051824,-1,11
0.27896497,0.8677556,0.112460256,0.19449621,0.17176247,0.3399042,-1,11
0.2789384,0.8678097,0.11247933,0.19450597,0.17183033,0.3401599,-1,11
0.2789331,0.8678207,0.11248313,0.19450793,0.171844,0.3402111,-1,11
0.2789703,0.86774427,0.11245634,0.19449422,0.17174876,0.3398527,-1,11
0.27901292,0.8676545,0.1124256,0.19447835,0.17163968,0.33944255,-1,11
0.27902365,0.86763185,0.112417884,0.19447435,0.1716122,0.3393396,-1,11
0.27899694,0.8676879,0.112437144,0.19448428,0.1716806,0.33959657,-1,11
0.27901292,0.8676545,0.1124256,0.19447835,0.17163968,0.33944255,-1,11
0.27906102,0.8675532,0.11239089,0.19446045,0.17151654,0.33898002,-1,11
0.2791038,0.8674622,0.11236,0.19444446,0.17140675,0.33856857,-1,11
0.27920032,0.8672548,0.11229005,0.19440831,0.17115882,0.33764058,-1,11
0.27934587,0.8669376,0.11218446,0.19435355,0.17078397,0.3362429,-1,11
0.27936745,0.8668907,0.11216879,0.1943455,0.17072842,0.33603573,-1,11
0.27938372,0.8668546,0.11215697,0.19433933,0.17068636,0.33587968,-1,11
0.27954677,0.8664897,0.11203814,0.19427755,0.17026478,0.33431584,-1,11
0.28145954,0.5407756,0.08541688,0.16987076,0.15326314,0.3430506,-1,11
0.28120825,0.54052323,0.08559392,0.16993019,0.15379716,0.3457933,-1,11
0.2810114,0.5403822,0.08573757,0.16998124,0.15421537,0.34793943,-1,11
0.2810738,0.54042137,0.08569156,0.16996466,0.15408275,0.3472594,-1,11
0.28124422,0.54055494,0.08556813,0.16992134,0.15372065,0.34540063,-1,11
0.28135902,0.5406653,0.085486874,0.16989383,0.15347676,0.34414786,-1,11
0.2813408,0.5406466,0.085499644,0.16989806,0.15351549,0.34434646,-1,11
0.28123522,0.5405468,0.08557454,0.16992351,0.15373984,0.34549856,-1,11
0.28122622,0.54053885,0.08558102,0.16992575,0.15375902,0.34559715,-1,11
0.28135902,0.5406653,0.085486874,0.16989383,0.15347676,0.34414786,-1,11
0.28140768,0.5407168,0.085452855,0.16988252,0.15337326,0.34361684,-1,11
0.28133482,0.54063994,0.0855038,0.16989943,0.15352815,0.34441203,-1,11
0.28131056,0.5406163,0.08552094,0.16990522,0.15357976,0.3446766,-1,11
0.2813408,0.5406466,0.085499644,0.16989806,0.15351549,0.34434646,-1,11
0.28147486,0.54079396,0.08540635,0.16986737,0.15323064,0.3428834,-1,11
0.2815764,0.54092044,0.08533705,0.16984536,0.15301475,0.34177464,-1,11
0.28214997,0.5412157,0.08488623,0.16968322,0.15179724,0.33544302,-1,11
0.28202933,0.5410767,0.08496807,0.16970912,0.15205935,0.33675146,-1,11
0.2820478,0.54109687,0.08495546,0.16970505,0.15201935,0.33655113,-1,11
0.28200155,0.54104835,0.084987246,0.16971534,0.1521198,0.33705252,-1,11
0.2819863,0.5410314,0.08499772,0.1697187,0.15215302,0.33721858,-1,11
0.28207245,0.5411253,0.08493873,0.16969977,0.15196575,0.33628374,-1,11
0.28211582,0.5411744,0.08490922,0.16969034,0.15187143,0.3358134,-1,11
0.28212202,0.5411815,0.084905,0.169689,0.15185802,0.3357461,-1,11
0.28211272,0.541171,0.08491136,0.16969106,0.15187822,0.33584702,-1,11
0.2821375,0.5412004,0.08489461,0.1696858,0.15182434,0.3355782,-1,11
0.2821936,0.5412698,0.08485701,0.16967414,0.15170237,0.33497,-1,11
0.28220606,0.5412852,0.08484861,0.16967155,0.15167516,0.33483434,-1,11
0.2821936,0.5412698,0.08485701,0.16967414,0.15170237,0.33497,-1,11
0.28223735,0.5413262,0.08482788,0.16966523,0.15160713,0.3344953,-1,11
0.28230637,0.5414207,0.08478243,0.16965163,0.15145697,0.33374614,-1,11
0.28234735,0.54148006,0.0847557,0.1696438,0.15136786,0.33330148,-1,11
0.28564432,0.35584408,0.06838773,0.15651654,0.13095658,0.31939244,-1,11
0.28574413,0.35639936,0.06832276,0.1565153,0.13078883,0.31813604,-1,11
0.28566286,0.3559448,0.06837546,0.15651613,0.13092543,0.31915933,-1,11
0.28551966,0.35522282,0.06847431,0.15652283,0.1311709,0.3209539,-1,11
0.2854631,0.3549685,0.06851563,0.15652747,0.13127005,0.3216588,-1,11
0.2855156,0.35520387,0.06847726,0.15652312,0.13117786,0.3210045,-1,11
0.28557456,0.3554867,0.068435445,0.15651943,0.13107593,0.32026744,-1,11
0.285595,0.35558885,0.06842129,0.15651843,0.13104077,0.32001144,-1,11
0.28563613,0.3558008,0.068393245,0.15651679,0.13097073,0.31949562,-1,11
0.28570446,0.35617286,0.068348154,0.15651539,0.13085526,0.31863624,-1,11
0.28574634,0.3564108,0.06832136,0.15651521,0.13078515,0.31810904,-1,11
0.28570446,0.35617286,0.068348154,0.15651539,0.13085526,0.31863624,-1,11
0.28566286,0.3559448,0.06837546,0.15651613,0.13092543,0.31915933,-1,11
0.28574634,0.3564108,0.06832136,0.15651521,0.13078515,0.31810904,-1,11
0.28586283,0.35712242,0.06825032,0.15651794,0.13059339,0.31663567,-1,11
0.28588217,0.35724658,0.06823897,0.15651882,0.13056196,0.3163907,-1,11
0.28624064,0.35616082,0.06778306,0.15632206,0.1297121,0.31227577,-1,11
0.2862063,0.35595113,0.06780347,0.15632094,0.1297699,0.3127073,-1,11
0.28619993,0.3559121,0.0678073,0.15632075,0.12978077,0.31278777,-1,11
0.2861871,0.35583562,0.06781504,0.15632045,0.12980232,0.31294852,-1,11
0.2861765,0.3557729,0.06782159,0.15632026,0.12982044,0.31308216,-1,11
0.28622136,0.35604125,0.0677944,0.15632129,0.12974454,0.3125183,-1,11
0.28627732,0.3563919,0.06776173,0.15632369,0.12965085,0.31181377,-1,11
0.28629035,0.35647422,0.0677542,0.15632424,0.12962928,0.31164962,-1,11
0.28630555,0.3565731,0.06774564,0.15632513,0.12960395,0.31145805,-1,11
0.28633606,0.3567736,0.06772858,0.15632704,0.12955354,0.31107277,-1,11
0.286369,0.35699445,0.06771043,0.15632938,0.12949929,0.3106568,-1,11
0.2864176,0.3573298,0.067684546,0.1563335,0.1294201,0.31004202,-1,11
0.28643984,0.35748726,0.06767301,0.15633565,0.12938392,0.3097605,-1,11
0.2864176,0.3573298,0.067684546,0.1563335,0.1294201,0.31004202,-1,11
0.28641087,0.35728437,0.067688175,0.15633298,0.12943108,0.31012684,-1,11
0.28641316,0.35729903,0.06768692,0.15633313,0.12942727,0.31009835,-1,11
0.28401312,0.8658256,0.10947761,0.1933555,0.15854558,0.29083866,-1,11
0.2841801,0.8654284,0.10935929,0.19329602,0.15808198,0.28927296,-1,11
0.28432953,0.86507195,0.10925345,0.19324273,0.15766653,0.28787303,-1,11
0.284461,0.86475843,0.10916047,0.193196,0.1573005,0.28664201,-1,11
0.28429204,0.8651617,0.109280035,0.19325611,0.15777078,0.28822422,-1,11
0.28381664,0.8662912,0.109616816,0.1934257,0.15908957,0.29268163,-1,11
0.28358528,0.8668377,0.1097809,0.19350839,0.15972862,0.29485434,-1,11
0.28368247,0.8666083,0.109711945,0.19347364,0.15946034,0.2939415,-1,11
0.28374338,0.86646456,0.10966879,0.19345185,0.1592921,0.2933696,-1,11
0.28374338,0.86646456,0.10966879,0.19345185,0.1592921,0.2933696,-1,11
0.28374946,0.86645013,0.10966445,0.1934497,0.1592753,0.2933123,-1,11
0.28376776,0.8664071,0.10965154,0.19344315,0.15922463,0.29314065,-1,11
0.2837007,0.8665648,0.109698966,0.19346707,0.15940991,0.29377002,-1,11
0.2836156,0.8667659,0.109759346,0.19349751,0.1596449,0.2945692,-1,11
0.28368247,0.8666083,0.109711945,0.19347364,0.15946034,0.2939415,-1,11
0.2836399,0.86670846,0.109742105,0.19348885,0.15957776,0.29434103,-1,11
0.2844485,0.8686535,0.109436065,0.19349271,0.15742409,0.28633946,-1,11
0.28443632,0.868681,0.10944453,0.19349691,0.15745813,0.2864535,-1,11
0.28443015,0.8686959,0.109448895,0.19349909,0.15747538,0.2865113,-1,11
0.28421694,0.86918265,0.109597884,0.19357309,0.15806898,0.2885087,-1,11
0.28390935,0.86987287,0.10981236,0.19367942,0.15892279,0.291394,-1,11
0.28372997,0.8702683,0.10993712,0.19374108,0.15941903,0.29307884,-1,11
0.28377768,0.870164,0.10990399,0.19372474,0.15928721,0.2926306,-1,11
0.28381354,0.8700848,0.10987908,0.19371241,0.15918809,0.29229397,-1,11
0.28371802,0.8702943,0.10994542,0.19374517,0.15945208,0.29319108,-1,11
0.2836764,0.8703849,0.10997431,0.19375944,0.1595673,0.29358238,-1,11
0.28356355,0.87062913,0.11005258,0.19379804,0.15987858,0.29464322,-1,11
0.2833277,0.87112945,0.110215604,0.19387808,0.16052812,0.29686338,-1,11
0.2830646,0.8716704,0.110396564,0.19396654,0.16124997,0.29934353,-1,11
0.282775,0.8722432,0.11059451,0.19406262,0.16204128,0.30207855,-1,11
0.28269434,0.87239903,0.11064934,0.19408913,0.16226113,0.30284083,-1,11
0.2827404,0.87230986,0.11061804,0.194074,0.16213557,0.30240542,-1,11
0.28391016,0.76821643,0.10173677,0.1857734,0.15700965,0.2984581,-1,11
0.2838502,0.76827306,0.101774566,0.18578932,0.1571693,0.29903698,-1,11
0.28383023,0.76829225,0.10178715,0.18579462,0.15722255,0.29922974,-1,11
0.2838153,0.76830584,0.10179657,0.18579853,0.15726225,0.29937422,-1,11
0.28383023,0.76829225,0.10178715,0.18579462,0.15722255,0.29922974,-1,11
0.28388512,0.7682408,0.101752535,0.18578005,0.15707642,0.29869956,-1,11
0.28382522,0.76829684,0.101790294,0.18579589,0.1572358,0.29927808,-1,11
0.283661,0.7684484,0.10189371,0.18583937,0.15767214,0.30086505,-1,11
0.283666,0.7684439,0.101890616,0.185838,0.15765904,0.30081695,-1,11
0.28380027,0.7683206,0.10180603,0.18580255,0.1573023,0.29951888,-1,11
0.28383023,0.76829225,0.10178715,0.18579462,0.15722255,0.29922974,-1,11
0.2836908,0.7684215,0.10187496,0.1858315,0.15759313,0.3005768,-1,11
0.28351253,0.7685792,0.101986885,0.18587834,0.1580656,0.3023017,-1,11
0.28344828,0.76863486,0.102027185,0.18589517,0.1582356,0.30292374,-1,11
0.28348285,0.76860493,0.10200554,0.1858861,0.15814424,0.30258912,-1,11
0.283661,0.7684484,0.10189371,0.18583937,0.15767214,0.30086505,-1,11
0.28507435,0.7702445,0.10122116,0.18569537,0.15400438,0.2868675,-1,11
0.28499818,0.77030575,0.10126767,0.18571407,0.15421063,0.28759933,-1,11
0.28483117,0.77043515,0.10136925,0.18575482,0.15466213,0.28920537,-1,11
0.2847253,0.7705133,0.101433516,0.18578045,0.15494773,0.29022455,-1,11
0.28472024,0.7705166,0.10143657,0.18578166,0.15496123,0.29027325,-1,11
0.28476053,0.7704876,0.10141213,0.18577191,0.15485272,0.28988528,-1,11
0.2847656,0.7704836,0.10140905,0.18577066,0.1548393,0.28983665,-1,11
0.28480595,0.77045363,0.101384506,0.18576087,0.15473038,0.28944796,-1,11
0.28497285,0.770326,0.101283066,0.18572026,0.15427919,0.2878428,-1,11
0.28501344,0.77029365,0.10125835,0.18571037,0.1541694,0.28745288,-1,11
0.2847908,0.77046525,0.101393774,0.18576455,0.15477124,0.2895941,-1,11
0.2846297,0.77058154,0.10149138,0.18580344,0.15520518,0.29114538,-1,11
0.28471023,0.7705235,0.10144253,0.18578403,0.15498847,0.29036975,-1,11
0.28474036,0.77050287,0.10142438,0.18577683,0.15490726,0.29007936,-1,11
0.28468502,0.77054197,0.10145788,0.18579012,0.15505621,0.29061234,-1,11
0.28469506,0.7705351,0.10145179,0.1857877,0.15502922,0.29051572,-1,11
0.259517,0.8421317,0.079556555,0.10994446,1.0647111,0.14390562,-1,11
0.2595302,0.842138,0.07954465,0.10994826,1.0645772,0.14377715,-1,11
0.259523,0.8421349,0.07955122,0.10994619,1.0646508,0.14384727,-1,11
0.2595206,0.8421336,0.079553366,0.10994549,1.064675,0.14387052,-1,11
0.2595302,0.842138,0.07954465,0.10994826,1.0645772,0.14377715,-1,11
0.25954112,0.8421417,0.0795348,0.10995136,1.0644656,0.14367162,-1,11
0.2595278,0.8421369,0.07954686,0.10994758,1.0646017,0.14380066,-1,11
0.25949103,0.84211403,0.07957957,0.10993704,1.0649724,0.14415981,-1,11
0.25950986,0.8421275,0.079562895,0.10994242,1.0647836,0.14397515,-1,11
0.25955093,0.8421441,0.07952584,0.10995413,1.0643653,0.1435773,-1,11
0.25951818,0.84213215,0.07955542,0.109944806,1.0646992,0.14389391,-1,11
0.2594899,0.84211284,0.07958059,0.1099367,1.0649838,0.14417128,-1,11
0.2595314,0.84213823,0.07954356,0.109948605,1.0645647,0.14376552,-1,11
0.25955462,0.8421449,0.07952245,0.10995519,1.0643272,0.1435418,-1,11
0.25951105,0.8421282,0.07956187,0.10994278,1.0647714,0.14396356,-1,11
0.25949454,0.8421168,0.07957648,0.109938055,1.0649374,0.14412533,-1,11
0.25957227,0.84235674,0.079516985,0.10996136,1.0642449,0.14329128,-1,11
0.25957227,0.84235674,0.079516985,0.10996136,1.0642449,0.14329128,-1,11
0.2595783,0.8423609,0.079511665,0.10996309,1.0641842,0.14323218,-1,11
0.25959787,0.842372,0.07949431,0.10996872,1.0639865,0.14304222,-1,11
0.2596115,0.8423775,0.07948206,0.10997264,1.0638478,0.1429104,-1,11
